Date : 2025-12-01 16:10:38
Directory : d:\PROYECTOCALENDARIO\proyectogiftcard
Total : 204 files,  31783 codes, 1465 comments, 1855 blanks, all 35103 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Requests\Settings\ProfileUpdateRequest.php                             | PHP                |         23 |          5 |          5 |         33 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Requests\Settings\TwoFactorAuthenticationRequest.php                   | PHP                |         17 |          8 |          6 |         31 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Models\Cliente.php                                                          | PHP                |         35 |          0 |          7 |         42 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Models\Movimiento.php                                                       | PHP                |         31 |          0 |          7 |         38 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Models\TarjetaGiftCard.php                                                  | PHP                |         38 |          1 |          7 |         46 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Models\User.php                                                             | PHP                |         34 |         17 |          7 |         58 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Policies\ClientePolicy.php                                                  | PHP                |         58 |         29 |         16 |        103 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Policies\TarjetaGiftCardPolicy.php                                          | PHP                |         62 |         36 |         17 |        115 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Providers\AppServiceProvider.php                                            | PHP                |         19 |          8 |          5 |         32 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Providers\FortifyServiceProvider.php                                        | PHP                |         70 |         18 |         19 |        107 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Services\GiftCardService.php                                                | PHP                |         24 |         15 |          7 |         46 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\bootstrap\app.php                                                               | PHP                |         27 |          2 |          5 |         34 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\bootstrap\providers.php                                                         | PHP                |          5 |          0 |          2 |          7 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\components.json                                                                 | JSON               |         21 |          0 |          1 |         22 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\composer.json                                                                   | JSON               |        101 |          0 |          1 |        102 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\composer.lock                                                                   | JSON               |     10,072 |          0 |          1 |     10,073 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\config\app.php                                                                  | PHP                |         22 |         82 |         23 |        127 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\config\auth.php                                                                 | PHP                |         28 |         74 |         14 |        116 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\config\cache.php                                                                | PHP                |         64 |         35 |         19 |        118 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\config\database.php                                                             | PHP                |        118 |         43 |         23 |        184 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\config\filesystems.php                                                          | PHP                |         36 |         32 |         13 |         81 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\config\fortify.php                                                              | PHP                |         27 |        105 |         26 |        158 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\config\inertia.php                                                              | PHP                |         21 |         23 |         12 |         56 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\config\logging.php                                                              | PHP                |         79 |         33 |         21 |        133 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\config\mail.php                                                                 | PHP                |         57 |         43 |         19 |        119 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\config\permission.php                                                           | PHP                |         34 |        121 |         48 |        203 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\config\queue.php                                                                | PHP                |         65 |         45 |         20 |        130 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\config\services.php                                                             | PHP                |         20 |         11 |          8 |         39 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\config\session.php                                                              | PHP                |         23 |        160 |         35 |        218 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\database\factories\UserFactory.php                                              | PHP                |         36 |         17 |          7 |         60 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\database\migrations\0001_01_01_000000_create_users_table.php                    | PHP                |         38 |          6 |          6 |         50 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\database\migrations\0001_01_01_000001_create_cache_table.php                    | PHP                |         25 |          6 |          5 |         36 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\database\migrations\0001_01_01_000002_create_jobs_table.php                     | PHP                |         46 |          6 |          6 |         58 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\database\migrations\2025_08_26_100418_add_two_factor_columns_to_users_table.php | PHP                |         25 |          6 |          7 |         38 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\database\migrations\2025_11_25_144900_create_clientes_table.php                 | PHP                |         30 |          6 |          4 |         40 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\database\migrations\2025_11_25_150819_create_tarjeta_gift_cards_table.php       | PHP                |         28 |          6 |          5 |         39 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\database\migrations\2025_11_25_152709_create_movimientos_table.php              | PHP                |         26 |          6 |          4 |         36 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\database\migrations\2025_11_26_222402_create_permission_tables.php              | PHP                |        103 |          8 |         24 |        135 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\database\seeders\AdminUserSeeder.php                                            | PHP                |         68 |          8 |         13 |         89 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\database\seeders\DatabaseSeeder.php                                             | PHP                |         13 |         16 |          7 |         36 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\database\seeders\DemoDataSeeder.php                                             | PHP                |        161 |          8 |         13 |        182 |
