"filename", "language", "PHP", "JSON with Comments", "XML", "TypeScript", "TypeScript JSX", "JSON", "PostCSS", "Ignore", "JavaScript", "YAML", "comment", "blank", "total"
"d:\PROYECTOCALENDARIO\proyectogiftcard\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 1, 2, 37
"d:\PROYECTOCALENDARIO\proyectogiftcard\package-lock.json", "JSON", 0, 0, 0, 0, 0, 7986, 0, 0, 0, 0, 0, 1, 7987
"d:\PROYECTOCALENDARIO\proyectogiftcard\package.json", "JSON", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 1, 78
"d:\PROYECTOCALENDARIO\proyectogiftcard\phpunit.xml", "XML", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\PROYECTOCALENDARIO\proyectogiftcard\public\favicon.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\PROYECTOCALENDARIO\proyectogiftcard\public\index.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 21
"d:\PROYECTOCALENDARIO\proyectogiftcard\public\logo.svg", "XML", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\css\app.css", "PostCSS", 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 21, 144
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\app.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 6, 36
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\Clientes\ClientesDataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 229, 0, 0, 0, 0, 0, 1, 7, 237
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\Clientes\CreateCliente.tsx", "TypeScript JSX", 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 1, 16, 199
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\Clientes\EditCliente.tsx", "TypeScript JSX", 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 1, 17, 204
